drv_splix|2.0.0s|true

Samsung ML-331x;*ML-3310|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||ml331x.ppd
Samsung ML-3471ND|0-22;0|0-13;0|0-6;0|0,2;0|0;0|0-2;0||ml3471nd.ppd
Samsung ML-3560|0-22;0|0-13;0|0-6;0|0,2;0|0;0|0-2;0||ml3560.ppd
Xerox Phaser 3115|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ph3115.ppd
Xerox Phaser 3116|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ph3116.ppd
Xerox Phaser 3117|0-22;0|0-13;0|0-1;0|0;0|0;0|||ph3117.ppd
Xerox Phaser 3120|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ph3120.ppd
Xerox Phaser 3121|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ph3121.ppd
Xerox Phaser 3122|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ph3122.ppd
Xerox Phaser 3124|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ph3124.ppd
Xerox Phaser 3130|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ph3130.ppd
Xerox Phaser 3140|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ph3140.ppd
Xerox Phaser 3150|0-22;0|0-13;0|0-4;0|0;0|0;0|||ph3150.ppd
Xerox Phaser 3155|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ph3155.ppd
Xerox Phaser 3160|0-22;0|0-13;0|0-4;0|0;0|0;0|||ph3160.ppd
Xerox Phaser 3420|0-22;0|0-13;0|0-4;0|0-1;0|0;0|0-2;0||ph3420.ppd
Xerox Phaser 3425|0-22;0|0-13;0|0-4;0|0-1;0|0;0|0-2;0||ph3425.ppd
Xerox Phaser 5500|0-22;0|0-13;0|0-4;0|0-1;0|0;0|0-2;0||ph5500.ppd
Xerox Phaser 6100|0-22;0|0-13;0|0-4;0|0,3,2;0|0-1;1|0-2;0||ph6100.ppd
Xerox Phaser 6110|0-22;0|0-13;0|0-1;0|0,2-3;0|0-1;1|0-2;0||ph6110.ppd
Samsung SCX-3200|0-22;0|0-13;0|0-1;0|0,2;0|0;0|||scx3200.ppd
Samsung SCX-3400;*SCX-3405|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||scx3400.ppd
Samsung SCX-4100|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||scx4100.ppd
Samsung SCX-4200|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||scx4200.ppd
Samsung SCX-4216F|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||scx4216f.ppd
Samsung SCX-4300|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||scx4300.ppd
Samsung SCX-4500|0-22;0|0-13;0|0-1;0|0;0|0;0|||scx4500.ppd
Samsung SCX-4521F|0-22;0|0-13;0|0-1;0|0;0|0;0|||scx4521f.ppd
Samsung SCX-4600|0-22;0|0-13;0|0-1;0|0,2;0|0;0|||scx4600.ppd
Samsung SCX-4623|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||scx4623.ppd
Samsung SCX-4623f|0-22;0|0-13;0|0-1;0|0,2;0|0;0|||scx4623f.ppd
Samsung SCX-4623fw|0-22;0|0-13;0|0-1;0|0,2;0|0;0|||scx4623fw.ppd
Samsung SCX-4650 4x21S;*SCX-4021;*SCX-4321;*SCX-4521;*SCX-4650;*SCX-4655|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||scx4650.ppd
Samsung SCX-4x21;*SCX-4321;*SCX-4521|46-58;0|0-13;0|0-1;0|0-1;0|0;0|||scx4x21.ppd
Samsung SCX-5330N|0-22;0|0-13;0|0-1;0|0,2;0|0;0|0-2;0||scx5330n.ppd
Samsung SCX-5530FN|0-22;0|0-13;0|0-1;0|0,2;0|0;0|0-2;0||scx5530fn.ppd
Samsung SF-565P|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||sf565p.ppd
Xerox WorkCentre 3119|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||wc3119.ppd
Xerox WorkCentre PE114e|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||wcpe114e.ppd
Xerox WorkCentre PE16|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||wcpe16.ppd
Lexmark X215 MFP|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||x215mfp.ppd

PageSize|MediaType|InputSlot|Resolution|ColorModel|Duplex

Letter|US Letter|612.00 792.00|10.75 15.00 601.25 777.00
Legal|US Legal|612.00 1008.00|10.75 15.00 601.25 993.00
A4|A4|595.00 842.00|10.75 15.00 584.25 827.00
Executive|Executive|522.00 756.00|10.75 15.00 511.25 741.00
Ledger|US Ledger|1224.00 792.00|10.75 15.00 1213.25 777.00
A3|A3|842.00 1191.00|10.75 15.00 831.25 1176.00
Env10|Envelope #10|297.00 684.00|10.75 15.00 286.25 669.00
Monarch|Envelope Monarch|279.00 540.00|10.75 15.00 268.25 525.00
C5|Envelope C5|459.00 649.00|10.75 15.00 448.25 634.00
DL|Envelope DL|312.00 624.00|10.75 15.00 301.25 609.00
B4|JIS B4|729.00 1032.00|10.75 15.00 718.25 1017.00
B5|JIS B5|516.00 729.00|10.75 15.00 505.25 714.00
EnvISOB5|Envelope B5|499.00 709.00|10.75 15.00 488.25 694.00
Postcard|Postcard|284.00 419.00|10.75 15.00 273.25 404.00
DoublePostcardRotated|Postcard Double Long Edge|420.00 567.00|10.75 15.00 409.25 552.00
A5|A5|420.00 595.00|10.75 15.00 409.25 580.00
A6|A6|297.00 420.00|10.75 15.00 286.25 405.00
B6|JIS B6|363.00 516.00|10.75 15.00 352.25 501.00
C6|Envelope C6|323.00 459.00|10.75 15.00 312.25 444.00
Folio|Folio|595.00 935.00|10.75 15.00 584.25 920.00
EnvPersonal|Envelope Personal|261.00 468.00|10.75 15.00 250.25 453.00
Env9|Envelope #9|279.00 639.00|10.75 15.00 268.25 624.00
Oficio|Oficio - 216x340mm|612.00 972.00|10.75 15.00 601.25 957.00
Letter|US Letter|612.00 792.00|12.00 12.00 600.00 780.00
Legal|US Legal|612.00 1008.00|12.00 12.00 600.00 996.00
A4|A4|595.00 842.00|12.00 12.00 583.00 830.00
Executive|Executive|522.00 756.00|12.00 12.00 510.00 744.00
Ledger|US Ledger|1224.00 792.00|12.00 12.00 1212.00 780.00
A3|A3|842.00 1191.00|12.00 12.00 830.00 1179.00
Env10|Envelope #10|297.00 684.00|12.00 12.00 285.00 672.00
Monarch|Envelope Monarch|279.00 540.00|12.00 12.00 267.00 528.00
C5|Envelope C5|459.00 649.00|12.00 12.00 447.00 637.00
DL|Envelope DL|312.00 624.00|12.00 12.00 300.00 612.00
B4|JIS B4|729.00 1032.00|12.00 12.00 717.00 1020.00
B5|JIS B5|516.00 729.00|12.00 12.00 504.00 717.00
EnvISOB5|Envelope B5|499.00 709.00|12.00 12.00 487.00 697.00
Postcard|Postcard|284.00 419.00|12.00 12.00 272.00 407.00
DoublePostcardRotated|Postcard Double Long Edge|420.00 567.00|12.00 12.00 408.00 555.00
A5|A5|420.00 595.00|12.00 12.00 408.00 583.00
A6|A6|297.00 420.00|12.00 12.00 285.00 408.00
B6|JIS B6|363.00 516.00|12.00 12.00 351.00 504.00
C6|Envelope C6|323.00 459.00|12.00 12.00 311.00 447.00
Folio|Folio|595.00 935.00|12.00 12.00 583.00 923.00
EnvPersonal|Envelope Personal|261.00 468.00|12.00 12.00 249.00 456.00
Env9|Envelope #9|279.00 639.00|12.00 12.00 267.00 627.00
Oficio|Oficio - 216x340mm|612.00 972.00|12.00 12.00 600.00 960.00
Letter|US Letter|612.00 792.00|12.50 12.50 599.50 779.50
Legal|US Legal|612.00 1008.00|12.50 12.50 599.50 995.50
A4|A4|595.00 842.00|12.50 12.50 582.50 829.50
Executive|Executive|522.00 756.00|12.50 12.50 509.50 743.50
Folio|Folio|612.00 936.00|12.50 12.50 599.50 923.50
B5|JIS B5|516.00 729.00|12.50 12.50 503.50 716.50
A5|A5|420.00 595.00|12.50 12.50 407.50 582.50
Env10|Envelope #10|297.00 684.00|12.50 12.50 284.50 671.50
Monarch|Envelope Monarch|279.00 540.00|12.50 12.50 266.50 527.50
DL|Envelope DL|312.00 624.00|12.50 12.50 299.50 611.50
C5|Envelope C5|459.00 649.00|12.50 12.50 446.50 636.50
Oficio|Oficio|612.00 972.00|12.50 12.50 599.50 959.50
Postcard|Post Card 4x6|288.00 432.00|12.50 12.50 275.50 419.50
Ledger|US Ledger|1224.00 792.00|12.50 12.50 1211.50 779.50
A3|A3|842.00 1191.00|12.50 12.50 829.50 1178.50
B4|JIS B4|729.00 1032.00|12.50 12.50 716.50 1019.50
EnvISOB5|Envelope B5|499.00 709.00|12.50 12.50 486.50 696.50
Postcard|Postcard|284.00 419.00|12.50 12.50 271.50 406.50
DoublePostcardRotated|Postcard Double Long Edge|420.00 567.00|12.50 12.50 407.50 554.50
A6|A6|297.00 420.00|12.50 12.50 284.50 407.50
B6|JIS B6|363.00 516.00|12.50 12.50 350.50 503.50
C6|Envelope C6|323.00 459.00|12.50 12.50 310.50 446.50
Folio|Folio|595.00 935.00|12.50 12.50 582.50 922.50
EnvPersonal|Envelope Personal|261.00 468.00|12.50 12.50 248.50 455.50
Env9|Envelope #9|279.00 639.00|12.50 12.50 266.50 626.50
Oficio|Oficio - 216x340mm|612.00 972.00|12.50 12.50 599.50 959.50

OFF|Use Printer Default
NORMAL|Plain Paper
THICK|Thick Paper
THIN|Thin Paper
BOND|Bond
OHP|Transparency
CARD|Card Stock
LABEL|Label
USED|Preprinted
COLOR|Colored Paper
ENV|Envelope
COTTON|Cotton
RECYCLED|Recycled
ARCHIVE|Archive

Auto|Automatic Selection
Manual|Manual Feed
Multi|Multi-Purpose Tray
Upper|Tray 1
Lower|Tray 2
Envelope|Envelope Tray
Tray3|Tray 3

600dpi|600 DPI|600x600
300dpi|300 DPI|300x300
1200dpi|1200 DPI|1200x1200
1200x600dpi|1200x600 DPI|1200x600

Gray|Grayscale
CMYK|Color

None|Off (1-Sided)|
DuplexNoTumble|Long-Edge (Portrait)|
DuplexTumble|Short-Edge (Landscape)|
